ITEC102,ITEC103,ITEC205,ITEL201,ITEC204,ITEP204,GEC106,ITEP205,ITEL203,GEC108,ITEP203,ITEP207,Label
1.25,1.25,1.25,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1.5,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1.5,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1.5,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1.5,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1.5,1.5,1,1.5,1.5,1.5,1.5,1.5,1.5,WMAD
1.25,1.25,1.25,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.5,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.25,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1,1.5,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,1.5,1.5,1.5,1.5,1,1.25,1.25,1.25,1.25,1.25,1.25,WMAD
1.5,2,1.25,2,1.25,1.5,1.25,1.5,1.5,1.5,1.75,1.5,WMAD
2,1.75,1.25,1.25,125,1.25,1.25,12.5,1.25,1.5,1.5,1.5,WMAD
1.75,2.5,1.5,1.75,1.75,2.75,1.25,1.75,1.75,1.25,2.5,2.25,WMAD
2,2,1.5,1.75,1.75,1.5,2,1.5,1.75,1.25,2.25,1.5,WMAD
2,1.75,1,1.25,1.5,1.25,1,1,1.5,1.5,1..5,1.5,WMAD
2,1.75,1,1.25,1.5,1.25,1,1.75,1.75,1.25,2.5,2.25,WMAD
1.75,1.75,1.75,1.25,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.25,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.25,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.25,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.25,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.25,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1,1,1,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.25,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.5,1.5,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.5,1.25,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.5,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
1.75,1.75,1.75,1.75,1.25,1.75,1.75,1.75,1.75,1.75,1.75,1.75,WMAD
